[CV 1/5] END predictor__C=10.0, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 5/5] END predictor__C=27.825594022071243, trans__sigma=0.6;, score=0.325 total 
[CV 3/5] END predictor__C=27.825594022071243, trans__sigma=0.6;, score=0.350 total 
[CV 4/5] END predictor__C=27.825594022071243, trans__sigma=0.6;, score=0.445 total 
[CV 1/5] END predictor__C=27.825594022071243, trans__sigma=0.7000000000000001;, score=0.464 total 
[CV 2/5] END predictor__C=27.825594022071243, trans__sigma=0.6;, score=0.433 total 
[CV 2/5] END predictor__C=27.825594022071243, trans__sigma=0.7000000000000001;, score=0.433 total 
[CV 4/5] END predictor__C=27.825594022071243, trans__sigma=0.7000000000000001;, score=0.418 total 
[CV 3/5] END predictor__C=27.825594022071243, trans__sigma=0.7000000000000001;, score=0.330 total 
[CV 5/5] END predictor__C=27.825594022071243, trans__sigma=0.7000000000000001;, score=0.325 total 
[CV 1/5] END predictor__C=27.825594022071243, trans__sigma=0.8;, score=0.459 total 
[CV 3/5] END predictor__C=27.825594022071243, trans__sigma=0.8;, score=0.320 total 
[CV 5/5] END predictor__C=27.825594022071243, trans__sigma=0.8;, score=0.325 total 
[CV 1/5] END predictor__C=27.825594022071243, trans__sigma=0.9;, score=0.454 total 
[CV 2/5] END predictor__C=27.825594022071243, trans__sigma=0.8;, score=0.433 total 
[CV 4/5] END predictor__C=27.825594022071243, trans__sigma=0.8;, score=0.418 total 
[CV 2/5] END predictor__C=27.825594022071243, trans__sigma=0.9;, score=0.440 total 
[CV 3/5] END predictor__C=27.825594022071243, trans__sigma=0.9;, score=0.320 total 
[CV 1/5] END predictor__C=27.825594022071243, trans__sigma=1.0;, score=0.454 total 
[CV 5/5] END predictor__C=27.825594022071243, trans__sigma=0.9;, score=0.333 total 
[CV 4/5] END predictor__C=27.825594022071243, trans__sigma=0.9;, score=0.409 total 
[CV 2/5] END predictor__C=27.825594022071243, trans__sigma=1.0;, score=0.426 total 
[CV 3/5] END predictor__C=27.825594022071243, trans__sigma=1.0;, score=0.320 total 
[CV 5/5] END predictor__C=27.825594022071243, trans__sigma=1.0;, score=0.325 total 
[CV 4/5] END predictor__C=27.825594022071243, trans__sigma=1.0;, score=0.382 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.1;, score=0.404 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.1;, score=0.325 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.1;, score=0.330 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.1;, score=0.291 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.1;, score=0.426 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.2;, score=0.404 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.2;, score=0.325 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.2;, score=0.291 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.2;, score=0.426 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.2;, score=0.330 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.30000000000000004;, score=0.433 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.30000000000000004;, score=0.300 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.30000000000000004;, score=0.325 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.4;, score=0.437 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.4;, score=0.325 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.30000000000000004;, score=0.330 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.4;, score=0.433 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.5;, score=0.443 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.4;, score=0.355 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.4;, score=0.340 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.5;, score=0.433 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.5;, score=0.445 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.6;, score=0.470 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.5;, score=0.333 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.5;, score=0.340 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.6;, score=0.445 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.6;, score=0.325 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.6;, score=0.433 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.7000000000000001;, score=0.464 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.6;, score=0.350 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.7000000000000001;, score=0.433 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.7000000000000001;, score=0.418 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.7000000000000001;, score=0.325 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.8;, score=0.459 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.7000000000000001;, score=0.330 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.8;, score=0.433 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=0.9;, score=0.454 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.8;, score=0.320 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.8;, score=0.418 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.8;, score=0.325 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=0.9;, score=0.433 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=0.9;, score=0.409 total 
[CV 1/5] END predictor__C=77.4263682681127, trans__sigma=1.0;, score=0.454 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=0.9;, score=0.333 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=0.9;, score=0.320 total 
[CV 2/5] END predictor__C=77.4263682681127, trans__sigma=1.0;, score=0.426 total 
[CV 3/5] END predictor__C=77.4263682681127, trans__sigma=1.0;, score=0.320 total 
[CV 5/5] END predictor__C=77.4263682681127, trans__sigma=1.0;, score=0.325 total 
[CV 4/5] END predictor__C=77.4263682681127, trans__sigma=1.0;, score=0.382 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.1;, score=0.291 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.2;, score=0.404 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.1;, score=0.426 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.2;, score=0.325 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.1;, score=0.330 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.1;, score=0.325 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.2;, score=0.291 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.2;, score=0.426 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.2;, score=0.330 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.1;, score=0.404 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.30000000000000004;, score=0.433 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.30000000000000004;, score=0.325 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.30000000000000004;, score=0.300 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.4;, score=0.437 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.4;, score=0.325 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.5;, score=0.443 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.4;, score=0.340 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.30000000000000004;, score=0.330 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.4;, score=0.345 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.4;, score=0.433 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.5;, score=0.433 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.5;, score=0.340 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.5;, score=0.445 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.6;, score=0.470 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.5;, score=0.333 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.7000000000000001;, score=0.464 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.6;, score=0.445 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.6;, score=0.325 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.6;, score=0.433 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.7000000000000001;, score=0.418 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.7000000000000001;, score=0.433 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.6;, score=0.350 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.7000000000000001;, score=0.325 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.8;, score=0.459 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.7000000000000001;, score=0.330 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=0.9;, score=0.454 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.8;, score=0.433 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.8;, score=0.320 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.9;, score=0.409 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.8;, score=0.325 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=0.8;, score=0.418 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=0.9;, score=0.320 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=0.9;, score=0.333 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=0.9;, score=0.433 total 
[CV 1/5] END predictor__C=215.44346900318823, trans__sigma=1.0;, score=0.454 total 
[CV 2/5] END predictor__C=215.44346900318823, trans__sigma=1.0;, score=0.426 total 
[CV 3/5] END predictor__C=215.44346900318823, trans__sigma=1.0;, score=0.320 total 
[CV 5/5] END predictor__C=215.44346900318823, trans__sigma=1.0;, score=0.325 total 
[CV 4/5] END predictor__C=215.44346900318823, trans__sigma=1.0;, score=0.382 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.1;, score=0.291 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.1;, score=0.325 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.2;, score=0.404 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.1;, score=0.426 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.2;, score=0.325 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.30000000000000004;, score=0.433 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.1;, score=0.330 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.30000000000000004;, score=0.300 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.2;, score=0.291 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.30000000000000004;, score=0.325 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.1;, score=0.404 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.4;, score=0.433 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.4;, score=0.340 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.5;, score=0.443 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.2;, score=0.426 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.2;, score=0.330 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.4;, score=0.325 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.5;, score=0.333 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.5;, score=0.433 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.4;, score=0.437 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.30000000000000004;, score=0.330 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.5;, score=0.340 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.6;, score=0.433 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.5;, score=0.445 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.4;, score=0.336 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.6;, score=0.325 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.7000000000000001;, score=0.464 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.7000000000000001;, score=0.433 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.6;, score=0.470 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.7000000000000001;, score=0.418 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.7000000000000001;, score=0.325 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.8;, score=0.433 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.6;, score=0.350 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.8;, score=0.459 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=0.9;, score=0.454 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=0.9;, score=0.426 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.6;, score=0.445 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.9;, score=0.409 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.9;, score=0.320 total 
[CV 1/5] END predictor__C=599.4842503189409, trans__sigma=1.0;, score=0.454 total 
[CV 2/5] END predictor__C=599.4842503189409, trans__sigma=1.0;, score=0.426 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=1.0;, score=0.320 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=0.8;, score=0.418 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.7000000000000001;, score=0.330 total 
[CV 4/5] END predictor__C=599.4842503189409, trans__sigma=1.0;, score=0.382 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.8;, score=0.325 total 
[CV 3/5] END predictor__C=599.4842503189409, trans__sigma=0.8;, score=0.320 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=1.0;, score=0.325 total 
[CV 5/5] END predictor__C=599.4842503189409, trans__sigma=0.9;, score=0.333 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.1;, score=0.426 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.2;, score=0.426 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.2;, score=0.404 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.1;, score=0.325 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.1;, score=0.291 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.1;, score=0.404 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.2;, score=0.325 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.2;, score=0.330 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.30000000000000004;, score=0.426 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.2;, score=0.291 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.1;, score=0.330 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.30000000000000004;, score=0.300 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.30000000000000004;, score=0.330 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.4;, score=0.340 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.4;, score=0.433 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.5;, score=0.443 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.4;, score=0.355 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.30000000000000004;, score=0.325 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.4;, score=0.325 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.4;, score=0.437 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.5;, score=0.333 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.5;, score=0.340 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.6;, score=0.470 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.5;, score=0.445 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.6;, score=0.350 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.6;, score=0.433 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.7000000000000001;, score=0.433 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.6;, score=0.445 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.7000000000000001;, score=0.418 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.6;, score=0.325 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.8;, score=0.433 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.8;, score=0.459 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.7000000000000001;, score=0.464 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.8;, score=0.409 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.8;, score=0.320 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.7000000000000001;, score=0.325 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=0.9;, score=0.454 total 
[CV 1/5] END predictor__C=1668.100537200059, trans__sigma=1.0;, score=0.454 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=0.9;, score=0.409 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.7000000000000001;, score=0.330 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=0.9;, score=0.433 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.8;, score=0.325 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=0.9;, score=0.320 total 
[CV 2/5] END predictor__C=1668.100537200059, trans__sigma=1.0;, score=0.426 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=0.9;, score=0.333 total 
[CV 3/5] END predictor__C=1668.100537200059, trans__sigma=1.0;, score=0.320 total 
[CV 4/5] END predictor__C=1668.100537200059, trans__sigma=1.0;, score=0.382 total 
[CV 4/5] END predictor__C=4641.588833612777, trans__sigma=0.1;, score=0.291 total 
[CV 5/5] END predictor__C=1668.100537200059, trans__sigma=1.0;, score=0.325 total 
[CV 2/5] END predictor__C=4641.588833612777, trans__sigma=0.1;, score=0.426 total 
[CV 1/5] END predictor__C=4641.588833612777, trans__sigma=0.1;, score=0.404 total 
[CV 1/5] END predictor__C=4641.588833612777, trans__sigma=0.2;, score=0.404 total 
[CV 5/5] END predictor__C=4641.588833612777, trans__sigma=0.1;, score=0.325 total 
[CV 3/5] END predictor__C=4641.588833612777, trans__sigma=0.1;, score=0.330 total 
[CV 5/5] END predictor__C=4641.588833612777, trans__sigma=0.2;, score=0.325 total 
[CV 2/5] END predictor__C=4641.588833612777, trans__sigma=0.2;, score=0.426 total 
[CV 4/5] END predictor__C=4641.588833612777, trans__sigma=0.2;, score=0.300 total 
[CV 3/5] END predictor__C=4641.588833612777, trans__sigma=0.2;, score=0.330 total 
[CV 1/5] END predictor__C=4641.588833612777, trans__sigma=0.30000000000000004;, score=0.410 total 
[CV 3/5] END predictor__C=4641.588833612777, trans__sigma=0.30000000000000004;, score=0.330 total 
[CV 4/5] END predictor__C=4641.588833612777, trans__sigma=0.30000000000000004;, score=0.300 total 
[CV 2/5] END predictor__C=4641.588833612777, trans__sigma=0.30000000000000004;, score=0.433 total 
[CV 1/5] END predictor__C=4641.588833612777, trans__sigma=0.4;, score=0.437 total 
